05-05-2023 13:32:48 Success pH 99: 8.244
05-05-2023 13:32:49 Success EC 100: 21200,11451,12.70,1.011
05-05-2023 13:32:51 Success RTD 102: 9.325
05-05-2023 13:33:24 Success DO 97: 5.13
05-05-2023 13:33:25 Success pH 99: 8.246
05-05-2023 13:33:27 Success EC 100: 21250,11476,12.73,1.011
05-05-2023 13:33:28 Success RTD 102: 9.289
05-05-2023 13:34:01 Success DO 97: 5.03
05-05-2023 13:34:03 Success pH 99: 8.253
05-05-2023 13:34:04 Success EC 100: 21280,11496,12.76,1.011
05-05-2023 13:34:06 Success RTD 102: 9.273
05-05-2023 13:34:39 Success DO 97: 5.04
05-05-2023 13:34:40 Success pH 99: 8.516
05-05-2023 13:34:42 Success EC 100: 21260,11485,12.74,1.011
05-05-2023 13:34:43 Success RTD 102: 9.305
05-05-2023 13:35:16 Success DO 97: 5.16
05-05-2023 13:35:18 Success pH 99: 7.615
05-05-2023 13:35:19 Success EC 100: 21240,11472,12.73,1.011
05-05-2023 13:35:21 Success RTD 102: 9.480
05-05-2023 13:35:54 Success DO 97: 5.01
05-05-2023 13:35:56 Success pH 99: 8.003
05-05-2023 13:35:57 Success EC 100: 21230,11465,12.72,1.011
05-05-2023 13:35:59 Success RTD 102: 9.432
05-05-2023 13:36:32 Success DO 97: 4.90
05-05-2023 13:36:33 Success pH 99: 8.242
05-05-2023 13:36:35 Success EC 100: 21290,11501,12.76,1.011
05-05-2023 13:36:36 Success RTD 102: 9.416
05-05-2023 13:37:09 Success DO 97: 4.96
05-05-2023 13:37:11 Success pH 99: 8.239
05-05-2023 13:37:12 Success EC 100: 21310,11511,12.77,1.011
05-05-2023 13:37:14 Success RTD 102: 9.408
05-05-2023 13:37:47 Success DO 97: 5.04
05-05-2023 13:37:48 Success pH 99: 8.244
05-05-2023 13:37:50 Success EC 100: 21290,11501,12.76,1.011
05-05-2023 13:37:51 Success RTD 102: 9.431
05-05-2023 13:38:24 Success DO 97: 5.01
05-05-2023 13:38:26 Success pH 99: 8.233
05-05-2023 13:38:27 Success EC 100: 21340,11526,12.79,1.011
05-05-2023 13:38:29 Success RTD 102: 9.480
05-05-2023 13:39:02 Success DO 97: 5.25
05-05-2023 13:39:04 Success pH 99: 8.279
05-05-2023 13:39:05 Success EC 100: 21330,11523,12.79,1.011
05-05-2023 13:39:07 Success RTD 102: 9.506
